rank,read_tier,title,year,authors,venue,doi,url,cited_by_count,source_query,concepts,problem_claimed,actual_mechanism,hidden_assumptions,variables_treated_as_fixed,failure_modes_ignored,what_it_makes_less_novel,what_it_leaves_open,relevance_score,hostile_reason,abstract
11,hostile_prior_work,Flying Calligrapher: Contact-Aware Motion and Force Planning and Control for Aerial Manipulation,2024,Xiaofeng Guo; Guanqi He; Jiahe Xu; Mohammadreza Mousaei; Junyi Geng; Sebastian Scherer; Guanya Shi,IEEE Robotics and Automation Letters,10.1109/lra.2024.3486236,https://doi.org/10.1109/lra.2024.3486236,14,robot planning control manipulation world model,Crossref,"Plan or control embodied robot behavior with learned, symbolic, or hybrid models.",planning/control over a learned or hybrid dynamics model,the chosen representation exposes the repair-critical physical variables,contact/friction regime,contact-mode changes and localized physical mismatch,broad learned dynamics / planning claims,how embodied counterexamples should rewrite the model used by planning,8,High-priority prior work for boundary checking.,
12,hostile_prior_work,Cooperative distributed model predictive control for robot in-hand manipulation,2023,Yang Chen; Yu Luo; Fuchun Sun,Robotic Intelligence and Automation,10.1108/ria-03-2022-0052,https://doi.org/10.1108/ria-03-2022-0052,11,robot planning control manipulation world model,Crossref,"Plan or control embodied robot behavior with learned, symbolic, or hybrid models.",planning/control over a learned or hybrid dynamics model,the chosen representation exposes the repair-critical physical variables,planner response and observability assumptions,planner-exploited false transitions and execution-time counterexamples,broad learned dynamics / planning claims,how embodied counterexamples should rewrite the model used by planning,8,High-priority prior work for boundary checking.,"<jats:sec> <jats:title content-type=""abstract-subheading"">Purpose</jats:title> <jats:p>This study aims to process multi-agent system with kinds of limitations and constraints, and consider the robot in-hand manipulation as a problem of coordination and cooperation of multi-fingered hand.</jats:p> </jats:sec> <jats:sec> <jats:title content-type=""abstract-subheading"">Design/methodology/approach</jats:title> <jats:p>A cooperative distributed model predictive control (MPC) algorithm is proposed to perform robot in-hand manipulation.</jats:p> </jats:sec> <jats:sec> <jats:title content-type=""abstract-subheading"">Findings</jats:title> <jats:p>A cooperative distributed MPC approach is formulated for robot in-hand manipulation problem, which enables address complex limitation and constraint conditions in object motion planning, and realizes tracking trajectory of the object more than tracking position of the object.</jats:p> </jats:sec> <jats:sec> <jats:title content-type=""abstract-subheading"">Originality/value</jats:title> <jats:p>This method to implement the moving object task uses the kinematic parameters without the knowledge of dynamic properties of the object. The cooperative distributed MPC scheme is designed to guarantee the movement of the object to a desired position and trajectory at algorithmic level.</jats:p> </jats:sec>"
13,hostile_prior_work,Motion Planning and Inertia-Based Control for Impact Aware Manipulation,2024,Harshit Khurana; Aude Billard,IEEE Transactions on Robotics,10.1109/tro.2023.3319895,https://doi.org/10.1109/tro.2023.3319895,10,robot planning control manipulation world model,Crossref,"Plan or control embodied robot behavior with learned, symbolic, or hybrid models.",planning/control over a learned or hybrid dynamics model,the chosen representation exposes the repair-critical physical variables,planner response and observability assumptions,planner-exploited false transitions and execution-time counterexamples,broad learned dynamics / planning claims,how embodied counterexamples should rewrite the model used by planning,8,High-priority prior work for boundary checking.,
14,hostile_prior_work,Task and Motion Planning Methods: Applications and Limitations,2022,Kai Zhang; Eric Lucet; Julien Sandretto; Selma Kchir; David Filliat,"Proceedings of the 19th International Conference on Informatics in Control, Automation and Robotics",10.5220/0011314000003271,https://doi.org/10.5220/0011314000003271,9,task and motion planning robot,Crossref,"Plan or control embodied robot behavior with learned, symbolic, or hybrid models.",planning/control over a learned or hybrid dynamics model,the chosen representation exposes the repair-critical physical variables,planner response and observability assumptions,planner-exploited false transitions and execution-time counterexamples,broad learned dynamics / planning claims,how embodied counterexamples should rewrite the model used by planning,8,High-priority prior work for boundary checking.,
15,hostile_prior_work,"Serving Time: Real-Time, Safe Motion Planning and Control for Manipulation of Unsecured Objects",2024,Zachary Brei; Jonathan Michaux; Bohao Zhang; Patrick Holmes; Ram Vasudevan,IEEE Robotics and Automation Letters,10.1109/lra.2024.3355731,https://doi.org/10.1109/lra.2024.3355731,9,robot planning control manipulation world model,Crossref,"Plan or control embodied robot behavior with learned, symbolic, or hybrid models.",planning/control over a learned or hybrid dynamics model,the chosen representation exposes the repair-critical physical variables,planner response and observability assumptions,planner-exploited false transitions and execution-time counterexamples,broad learned dynamics / planning claims,how embodied counterexamples should rewrite the model used by planning,8,High-priority prior work for boundary checking.,
16,hostile_prior_work,Effectiveness of multi-gated sequence model for the learning of kinematics and dynamics of an industrial robot,2020,Aditya Singh; Padmakar Pandey; G.C. Nandi,Industrial Robot: the international journal of robotics research and application,10.1108/ir-01-2020-0010,https://doi.org/10.1108/ir-01-2020-0010,6,robot learned dynamics model planning,Crossref,"Plan or control embodied robot behavior with learned, symbolic, or hybrid models.",planning/control over a learned or hybrid dynamics model,the chosen representation exposes the repair-critical physical variables,contact/friction regime,contact-mode changes and localized physical mismatch,broad learned dynamics / planning claims,how embodied counterexamples should rewrite the model used by planning,8,High-priority prior work for boundary checking.,"<jats:sec> <jats:title>Purpose</jats:title> <jats:p>For efficient trajectory control of industrial robots, a cumbersome computation for inverse kinematics and inverse dynamics is needed, which is usually developed using spatial transformation using Denavit–Hartenberg principle and Lagrangian or Newton–Euler methods, respectively. The model is highly non-linear and needs to deal with uncertainties because of lack of accurate measurement of mechanical parameters, noise and non-inclusion of joint friction, which results in some inaccuracies in predicting accurate torque trajectories. To get a guaranteed closed form solution, the robot designers normally follow Pieper’s recommendation and compromise with the mechanical design. While this may be acceptable for the industrial robots where the aesthetic look is not that important, it is not for humanoid and social robots. To help solve this problem, this study aims to propose an alternative machine learning-based computational approach based on a multi-gated sequence model for finding appropriate mapping between Cartesian space to joint space and motion space to joint torque space.</jats:p> </jats:sec> <jats:sec> <jats:title>Design/methodology/approach</jats:title> <jats:p>First, the authors generate sufficient data required for the sequence model, using forward kinematics and forward dynamics by running N number of nested loops, where N is the number of joints of the robot. Subsequently, to develop a learning-based model based on sequence analysis, the authors propose to use long short-term memory (LSTM) and hence, train an LSTM model, the architecture details of which have been discussed in the paper. To make LSTM learning algorithms perform efficiently, the authors need to detect and eliminate redundant features from the data set, which the authors propose to do using an elegant statistical tool called Pearson coefficient.</jats:p> </jats:sec> <jats:sec> <jats:title>Findings</jats:title> <jats:p>To validate the proposed model, the authors have performed rigorous experiments using both hardware and simulation robots (Baxter/Anukul robot) available in their laboratory and KUKA simulation robot data set made available from Neural Learning for Robotics Laboratory. Through several characteristic plots, it has been shown that a sequence-based LSTM model of deep learning architecture with non-redundant features could help the robots to learn smooth and accurate trajectories more quickly compared to data sets having redundancy. Such data-driven modeling techniques can change the future course of direction of robotics research for solving the classical problems such as trajectory planning and motion planning for manipulating industrial as well as social humanoid robots.</jats:p> </jats:sec> <jats:sec> <jats:title>Originality/value</jats:title> <jats:p>The present investigation involves development of deep learning-based computation model, statistical analyses to eliminate redundant features, data creation from one hardware robot (Anukul) and one simulation robot model (KUKA), rigorously training and testing separately two computational models (specially configured two LSTM models) – one for learning inverse kinematics and one for learning inverse dynamics problem – and comparison of the inverse dynamics model with the state-of-the-art model. Hence, the authors strongly believe that the present paper is compact and complete to get published in a reputed journal so that dissemination of new ideas can benefit the researchers in the area of robotics.</jats:p> </jats:sec>"
17,hostile_prior_work,Manipulation Planning for Cable Shape Control,2024,Karam Almaghout; Alexandr Klimchik,Robotics,10.3390/robotics13010018,https://doi.org/10.3390/robotics13010018,4,robot planning control manipulation world model,Crossref,"Plan or control embodied robot behavior with learned, symbolic, or hybrid models.",planning/control over a learned or hybrid dynamics model,the chosen representation exposes the repair-critical physical variables,contact/friction regime,contact-mode changes and localized physical mismatch,broad learned dynamics / planning claims,how embodied counterexamples should rewrite the model used by planning,8,High-priority prior work for boundary checking.,"<jats:p>The control of deformable linear objects (DLOs) such as cables presents a significant challenge for robotic systems due to their unpredictable behavior during manipulation. This paper introduces a novel approach for cable shape control using dual robotic arms on a two–dimensional plane. A discrete point model is utilized for the cable, and a path generation algorithm is developed to define intermediate cable shapes, facilitating the transformation of the cable into the desired profile through a formulated optimization problem. The problem aims to minimize the discrepancy between the cable configuration and the targeted shape to ensure an accurate and stable deformation process. Moreover, a cable dynamic model is developed in which the manipulation approach is validated using this model. Additionally, the approach is tested in a simulation environment in which a framework of two manipulators grasps a cable. The results demonstrate the feasibility and accuracy of the proposed method, offering a promising direction for robotic manipulation of cables.</jats:p>"
18,hostile_prior_work,Guiding real-world reinforcement learning for in-contact manipulation tasks with Shared Control Templates,2024,Abhishek Padalkar; Gabriel Quere; Antonin Raffin; João Silvério; Freek Stulp,Autonomous Robots,10.1007/s10514-024-10164-6,https://doi.org/10.1007/s10514-024-10164-6,3,robot planning control manipulation world model,Crossref,"Plan or control embodied robot behavior with learned, symbolic, or hybrid models.",planning/control over a learned or hybrid dynamics model,the chosen representation exposes the repair-critical physical variables,contact/friction regime,contact-mode changes and localized physical mismatch,broad learned dynamics / planning claims,how embodied counterexamples should rewrite the model used by planning,8,High-priority prior work for boundary checking.,"<jats:title>Abstract</jats:title><jats:p>The requirement for a high number of training episodes has been a major limiting factor for the application of<jats:italic>Reinforcement Learning</jats:italic>(RL) in robotics. Learning skills directly on real robots requires time, causes wear and tear and can lead to damage to the robot and environment due to unsafe exploratory actions. The success of learning skills in simulation and transferring them to real robots has also been limited by the gap between reality and simulation. This is particularly problematic for tasks involving contact with the environment as contact dynamics are hard to model and simulate. In this paper we propose a framework which leverages a shared control framework for modeling known constraints defined by object interactions and task geometry to reduce the state and action spaces and hence the overall dimensionality of the reinforcement learning problem. The unknown task knowledge and actions are learned by a reinforcement learning agent by conducting exploration in the constrained environment. Using a pouring task and grid-clamp placement task (similar to peg-in-hole) as use cases and a 7-DoF arm, we show that our approach can be used to learn directly on the real robot. The pouring task is learned in only 65 episodes (16 min) and the grid-clamp placement task is learned in 75 episodes (17 min) with strong safety guarantees and simple reward functions, greatly alleviating the need for simulation.</jats:p>"
19,hostile_prior_work,Improving Robot Skills by Integrating Task and Motion Planning with Learning from Demonstration,2024,Shin Watanabe; Geir Horn; Jim Tørresen; Kai Olav Ellefsen,2024 6th International Conference on Control and Robotics (ICCR),10.1109/iccr64365.2024.10927043,https://doi.org/10.1109/iccr64365.2024.10927043,3,task and motion planning robot,Crossref,"Plan or control embodied robot behavior with learned, symbolic, or hybrid models.",planning/control over a learned or hybrid dynamics model,the chosen representation exposes the repair-critical physical variables,planner response and observability assumptions,planner-exploited false transitions and execution-time counterexamples,broad learned dynamics / planning claims,how embodied counterexamples should rewrite the model used by planning,8,High-priority prior work for boundary checking.,
20,hostile_prior_work,Flexible Motion Planning for Object Manipulation in Cluttered Scenes,2018,Marco Costanzo; Giuseppe De Maria; Gaetano Lettera; Ciro Natale; Salvatore Pirozzi,"Proceedings of the 15th International Conference on Informatics in Control, Automation and Robotics",10.5220/0006848701100121,https://doi.org/10.5220/0006848701100121,2,robot planning control manipulation world model,Crossref,"Plan or control embodied robot behavior with learned, symbolic, or hybrid models.",planning/control over a learned or hybrid dynamics model,the chosen representation exposes the repair-critical physical variables,planner response and observability assumptions,planner-exploited false transitions and execution-time counterexamples,broad learned dynamics / planning claims,how embodied counterexamples should rewrite the model used by planning,8,High-priority prior work for boundary checking.,
21,hostile_prior_work,Task and Motion Planning for Grasping Obstructed Object in Cluttered Environment,2019,Seokjun Lee; Incheol Kim,Journal of Korea Robotics Society,10.7746/jkros.2019.14.2.104,https://doi.org/10.7746/jkros.2019.14.2.104,2,task and motion planning robot,Crossref,"Plan or control embodied robot behavior with learned, symbolic, or hybrid models.",planning/control over a learned or hybrid dynamics model,the chosen representation exposes the repair-critical physical variables,planner response and observability assumptions,planner-exploited false transitions and execution-time counterexamples,broad learned dynamics / planning claims,how embodied counterexamples should rewrite the model used by planning,8,High-priority prior work for boundary checking.,
22,hostile_prior_work,Control of dynamics and sensor based motion planning for a differential drive robot,,S. Bobyr; V. Lumelsky,Proceedings 1999 IEEE International Conference on Robotics and Automation (Cat. No.99CH36288C),10.1109/robot.1999.769953,https://doi.org/10.1109/robot.1999.769953,1,robot learned dynamics model planning,Crossref,"Plan or control embodied robot behavior with learned, symbolic, or hybrid models.",planning/control over a learned or hybrid dynamics model,the chosen representation exposes the repair-critical physical variables,planner response and observability assumptions,planner-exploited false transitions and execution-time counterexamples,broad learned dynamics / planning claims,how embodied counterexamples should rewrite the model used by planning,8,High-priority prior work for boundary checking.,
23,hostile_prior_work,Bio-Inspired Robot Control for Human-Robot Bi-Manual Manipulation,2013,Stephen Warren; Panagiotis Artemiadis,"Volume 3: Nonlinear Estimation and Control; Optimization and Optimal Control; Piezoelectric Actuation and Nanoscale Control; Robotics and Manipulators; Sensing; System Identification (Estimation for Automotive Applications, Modeling, Therapeutic Control in Bio-Systems); Variable Structure/Sliding-Mode Control; Vehicles and Human Robotics; Vehicle Dynamics and Control; Vehicle Path Planning and Collision Avoidance; Vibrational and Mechanical Systems; Wind Energy Systems and Control",10.1115/dscc2013-3834,https://doi.org/10.1115/dscc2013-3834,1,robot planning control manipulation world model,Crossref,"Plan or control embodied robot behavior with learned, symbolic, or hybrid models.",online adaptation or system identification,the chosen representation exposes the repair-critical physical variables,planner response and observability assumptions,planner-exploited false transitions and execution-time counterexamples,broad learned dynamics / planning claims,how embodied counterexamples should rewrite the model used by planning,8,High-priority prior work for boundary checking.,"<jats:p>As robots are increasingly used in human-cluttered environments, the requirement of human-likeness in their movements becomes essential. Although robots perform a wide variety of demanding tasks around the world in factories, remote sites and dangerous environments, they are still lacking the ability to coordinate with humans in simple, every-day life bi-manual tasks, e.g. removing a jar lid. This paper focuses on the introduction of bio-inspired control schemes for robot arms that coordinate with human arms in bi-manual manipulation tasks. Using data captured from human subjects performing a variety of every-day bi-manual life tasks, we propose a bio-inspired controller for a robot arm, that is able to learn human inter- and intra-arm coordination during those tasks. We embed human arm coordination in low-dimension manifolds, and build potential fields that attract the robot to human-like configurations using the probability distributions of the recorded human data. The method is tested using a simulated robot arm that is identical in structure to the human arm. A preliminary evaluation of the approach is also carried out using an anthropomorphic robot arm in bi-manual manipulation task with a human subject.</jats:p>"
24,hostile_prior_work,A New Approach to Model Constant Curvature Continuum Robot Dynamics,2019,Yujiong Liu; Pinhas Ben-Tzvi,"Volume 3, Rapid Fire Interactive Presentations: Advances in Control Systems; Advances in Robotics and Mechatronics; Automotive and Transportation Systems; Motion Planning and Trajectory Tracking; Soft Mechatronic Actuators and Sensors; Unmanned Ground and Aerial Vehicles",10.1115/dscc2019-8999,https://doi.org/10.1115/dscc2019-8999,1,robot learned dynamics model planning,Crossref,"Plan or control embodied robot behavior with learned, symbolic, or hybrid models.",planning/control over a learned or hybrid dynamics model,the chosen representation exposes the repair-critical physical variables,planner response and observability assumptions,planner-exploited false transitions and execution-time counterexamples,broad learned dynamics / planning claims,how embodied counterexamples should rewrite the model used by planning,8,High-priority prior work for boundary checking.,"<jats:title>Abstract</jats:title> <jats:p>Inspired by nature, continuum robots show their potential in human-centered environments due to the compliant-to-obstacle features and dexterous mobility. However, there are few such robots successfully implemented outside the laboratory so far. One reason is believed to be due to the real time control challenge for soft robots, which require a highly efficient, highly accurate dynamic model. This paper presents a new systematic methodology to formulate the dynamics of constant curvature continuum robots. The new approach builds on several new techniques: 1) using the virtual work principle to formulate the equation of motion, 2) using specifically selected kinematic representations to separate integral variables from the non-integral variables, and 3) using vector representations to put the integral in a compact form. By doing so, the hard-to-solve integrals are evaluated analytically in advance and the accurate inverse dynamics are established accordingly. Numerical simulations are conducted to evaluate the performances of the newly proposed model.</jats:p>"
25,hostile_prior_work,Curvature-Constrained Motion Planning and Control for Traffic Cone Manipulation Robot,2025,Rudolf Krecht; Áron Ballagi,"Proceedings of the 22nd International Conference on Informatics in Control, Automation and Robotics",10.5220/0013720700003982,https://doi.org/10.5220/0013720700003982,1,robot planning control manipulation world model,Crossref,"Plan or control embodied robot behavior with learned, symbolic, or hybrid models.",planning/control over a learned or hybrid dynamics model,the chosen representation exposes the repair-critical physical variables,planner response and observability assumptions,planner-exploited false transitions and execution-time counterexamples,broad learned dynamics / planning claims,how embodied counterexamples should rewrite the model used by planning,8,High-priority prior work for boundary checking.,
